"Player","Date","G","School","Loc","Opponent","WL","Tackle Solo","Tackle Assist","Tackle Tot","Tackle For Loss","Sack","unique_id"
"Elijah Watson","2017-11-21",12,"Miami (OH)","@","Ball State","W",0,1,1,0,0,"elijah-watson-1"
"Jacob White","2017-11-21",12,"Ball State",,"Miami (OH)","L",1,1,2,0.5,0,"jacob-white-1"
"Brennan Williams","2017-11-21",12,"Akron",,"Kent State","W",0,3,3,1.5,0.5,"brennan-williams-2"
"Jalen Williams","2017-11-21",12,"Eastern Michigan",,"Bowling Green State","W",1,0,1,0,0,"jalen-williams-1"
"Ross Williams","2017-11-21",12,"Eastern Michigan",,"Bowling Green State","W",1,2,3,0,0,"ross-williams-2"
"Kevin Willis","2017-11-21",12,"Ball State",,"Miami (OH)","L",1,5,6,0,0,"kevin-willis-1"
"Anthony Winbush","2017-11-21",12,"Ball State",,"Miami (OH)","L",2,3,5,1,0,"anthony-winbush-1"
"Johnathan Abram","2017-11-23",12,"Mississippi State",,"Mississippi","L",5,3,8,0,0,"johnathan-abram-1"
"Fletcher Adams","2017-11-23",12,"Mississippi State",,"Mississippi","L",1,4,5,0.5,0,"fletcher-adams-1"
"Ryder Anderson","2017-11-23",12,"Mississippi","@","Mississippi State","W",2,1,3,1,1,"ryder-anderson-1"
"Brandon Bryant","2017-11-23",12,"Mississippi State",,"Mississippi","L",0,1,1,0,0,"brandon-bryant-2"
"Tolando Cleveland","2017-11-23",12,"Mississippi State",,"Mississippi","L",2,0,2,0,0,"tolando-cleveland-1"
"Josiah Coatney","2017-11-23",12,"Mississippi","@","Mississippi State","W",1,7,8,0.5,0,"josiah-coatney-1"
"Jamal Couch","2017-11-23",12,"Mississippi State",,"Mississippi","L",1,0,1,0,0,"jamal-couch-1"
"Shawn Curtis","2017-11-23",12,"Mississippi","@","Mississippi State","W",1,1,2,0,0,"shawn-curtis-2"
"Ross Donelly","2017-11-23",12,"Mississippi","@","Mississippi State","W",2,4,6,0,0,"ross-donelly-1"
"Lashard Durr","2017-11-23",12,"Mississippi State",,"Mississippi","L",1,0,1,0,0,"lashard-durr-1"
"Demarquis Gates","2017-11-23",12,"Mississippi","@","Mississippi State","W",5,8,13,0,0,"demarquis-gates-1"
"Willie Gay","2017-11-23",12,"Mississippi State",,"Mississippi","L",0,1,1,0,0,"willie-gay-1"
"Will Gleeson","2017-11-23",12,"Mississippi","@","Mississippi State","W",1,0,1,0,0,"will-gleeson-1"
"J.T. Gray","2017-11-23",12,"Mississippi State",,"Mississippi","L",2,2,4,0,0,"jt-gray-1"
"Gerri Green","2017-11-23",12,"Mississippi State",,"Mississippi","L",1,3,4,1.5,0.5,"gerri-green-1"
"Javien Hamilton","2017-11-23",12,"Mississippi","@","Mississippi State","W",1,1,2,0,0,"javien-hamilton-1"
"C.J. Hampton","2017-11-23",12,"Mississippi","@","Mississippi State","W",3,3,6,0,0,"cj-hampton-1"
