coach,last_year_bonus,max_bonus,other_pay,position,school_name,school_pay,total_pay,year
Kyle Whittingham,0.0,740000.0,0.0,coach,Utah,2200000.0,2200000,2014
Kyle Whittingham,0.0,740000.0,0.0,coach,Utah,2427100.0,2427100,2013
Kyle Whittingham,0.0,740000.0,0.0,coach,Utah,2000000.0,2000000,2012
Kyle Whittingham,0.0,740000.0,0.0,coach,Utah,1700000.0,1700000,2011
Kyle Whittingham,0.0,485000.0,0.0,coach,Utah,1175000.0,1175000,2010
Kyle Whittingham,0.0,485000.0,937500.0,coach,Utah,270000.0,1207500,2009
Kyle Whittingham,0.0,350000.0,467000.0,coach,Utah,211120.0,678120,2007
Kyle Whittingham,0.0,280000.0,467000.0,coach,Utah,205000.0,672000,2006
Paul Chryst,290000.0,0.0,0.0,coach,Wisconsin,3750000.0,3750000,2018
Paul Chryst,260000.0,0.0,0.0,coach,Wisconsin,3200000.0,3200000,2017
Paul Chryst,100000.0,440000.0,6200.0,coach,Wisconsin,2700000.0,2706200,2016
Paul Chryst,0.0,440000.0,0.0,coach,Wisconsin,2300000.0,2300000,2015
Paul Chryst,0.0,0.0,0.0,coach,Pittsburgh,1578757.0,1578757,2014
Paul Chryst,0.0,0.0,0.0,coach,Pittsburgh,0.0,0,2013
Paul Chryst,0.0,0.0,0.0,coach,Pittsburgh,0.0,0,2012
Paul Chryst,0.0,91500.0,1750.0,assistant,Wisconsin,405000.0,406750,2011
Paul Chryst,0.0,122500.0,675.0,assistant,Wisconsin,360419.0,361094,2010
Paul Chryst,0.0,105000.0,11554.0,assistant,Wisconsin,350000.0,361554,2009
Kliff Kingsbury,25000.0,1500000.0,0.0,coach,Texas Tech,3703975.0,3703975,2018
Kliff Kingsbury,90000.0,1500000.0,0.0,coach,Texas Tech,3503975.0,3503975,2017
Kliff Kingsbury,50000.0,1500000.0,0.0,coach,Texas Tech,3306575.0,3306575,2016
Kliff Kingsbury,70000.0,1500000.0,39500.0,coach,Texas Tech,3108000.0,3147500,2015
Kliff Kingsbury,0.0,1500000.0,300.0,coach,Texas Tech,2605000.0,2605300,2014
Kliff Kingsbury,0.0,600000.0,300.0,coach,Texas Tech,1855000.0,1855300,2013
Kliff Kingsbury,0.0,80000.0,0.0,assistant,Texas A&M,406000.0,406000,2012
Kliff Kingsbury,0.0,29000.0,0.0,assistant,Houston,145000.0,145000,2011
Kliff Kingsbury,0.0,24000.0,0.0,assistant,Houston,120000.0,120000,2010
Pat Fitzgerald,0.0,0.0,0.0,coach,Northwestern,3619775.0,3619775,2018
Pat Fitzgerald,0.0,0.0,0.0,coach,Northwestern,3305818.0,3305818,2017
Pat Fitzgerald,0.0,0.0,0.0,coach,Northwestern,3350638.0,3350638,2016
Pat Fitzgerald,0.0,0.0,0.0,coach,Northwestern,2490858.0,2490858,2015
Pat Fitzgerald,0.0,0.0,0.0,coach,Northwestern,2480967.0,2480967,2014
Pat Fitzgerald,0.0,0.0,0.0,coach,Northwestern,2221153.0,2221153,2013
Pat Fitzgerald,0.0,0.0,0.0,coach,Northwestern,1280751.0,1280751,2012
Pat Fitzgerald,0.0,0.0,0.0,coach,Northwestern,1189961.0,1189961,2011
Pat Fitzgerald,0.0,0.0,0.0,coach,Northwestern,0.0,0,2010
Pat Fitzgerald,0.0,0.0,0.0,coach,Northwestern,0.0,0,2009
Pat Fitzgerald,0.0,0.0,0.0,coach,Northwestern,0.0,0,2007
Pat Fitzgerald,0.0,0.0,0.0,coach,Northwestern,0.0,0,2006
Dana Holgorsen,90000.0,1000000.0,12500.0,coach,West Virginia,3605000.0,3617500,2018
Dana Holgorsen,185000.0,750000.0,0.0,coach,West Virginia,3505000.0,3505000,2017
