School,Conf,Coach,School Pay,Total Pay,Max Bonus,Asst Pay Total,School Buyout AS OF 12/1/17
Texas Tech,Big 12,Joe Robinson,250000,250000,20833,2247900,
Purdue,Big Ten,Marcus Freeman,250000,250000,202500,2495000,
Minnesota,Big Ten,Bart Miller,250000,250000,72500,2932000,
Utah,Pac-12,Lewis Powell,250000,250000,20833,2900000,
Oklahoma,Big 12,Calvin Thibodeaux,250000,250000,64166,4390900,
Utah,Pac-12,Justin Ena,250000,250000,20833,2900000,
Minnesota,Big Ten,Mike Sherels,250000,250000,72500,2932000,
Georgia,SEC,Glenn Schumann,250000,250000,150000,4675000,
Nebraska,Big Ten,John Parrella,250000,250000,100000,3758626,
Washington State,Pac-12,Ken Wilson,246500,246500,30815,2662000,
Wisconsin,Big Ten,John Settle,244800,245450,95472,2862520,
California,Pac-12,John Lovett,245000,245000,50000,2675600,
Kansas State,Big 12,Andre Coleman,240000,244200,96800,3203525,
Boise State,Mt. West,Steve Caldwell,244012,244012,19000,2052597,
California,Pac-12,Mark Tommerdahl,240000,242600,50000,2675600,
Georgia Tech,ACC,Mike Sewak,242381,242381,20198,2534515,
Rutgers,Big Ten,Shane Burnham,240000,240000,20000,2340000,
UCF,AAC,Sean Beckton,240000,240000,0,2130000,
Rutgers,Big Ten,AJ Blazek,240000,240000,20000,2340000,
Georgia Tech,ACC,Andy McCollum,237466,237466,19789,2534515,
Washington State,Pac-12,Jim Mastro,236500,236500,29563,2662000,
Memphis,AAC,Paul Randolph,235000,235000,19583,2149500,
Memphis,AAC,Ryan Silverfield,235000,235000,19583,2149500,
Iowa State,Big 12,Jim Hofher,235000,235000,19505,2318250,
Utah State,Mt. West,Frank Maile,234600,234600,19550,1441200,
Georgia Tech,ACC,Al Preston,233686,233686,19474,2534515,
Marshall,C-USA,Chuck Heater,230000,233564,38333,1182914,
Texas Tech,Big 12,Zac Spavital,230000,233000,57500,2247900,
Georgia Tech,ACC,Mike Pelton,232066,232066,19339,2534515,
Ohio State,Big Ten,Zach Smith,231100,231100,86675,4583100,
Oregon State,Pac-12,Telly Lockette,230004,230004,82777,2736691,
UCF,AAC,Jovan Dewitt,230000,230000,0,2130000,
Colorado State,Mt. West,Martin English,229050,229050,48731,1845555,
Auburn,SEC,Travis Williams,225000,228750,95000,4456250,
California,Pac-12,Jacob Peeler,225000,228000,50000,2675600,
California,Pac-12,Garret Chachere,225000,228000,50000,2675600,
California,Pac-12,Greg Burns,225000,228000,50000,2675600,
California,Pac-12,Fred Tate,225000,228000,50000,2675600,
Louisville,ACC,L.D. Scott,225000,227000,0,3839500,
New Mexico,Mt. West,Robert Debesse,226750,226950,0,1439460,
South Alabama,Sun Belt,Bryant Vincent,226639,226639,13887,1120062,
Washington State,Pac-12,JaMarcus Shephard,226500,226500,28313,2662000,
Indiana,Big Ten,James Patton,226000,226000,62777,2751661,
Western Michigan,MAC,Ed Pinkham,220000,225760,7500,1225320,
Mississippi State,SEC,Scott Sallach,225000,225000,18750,3295000,
Rutgers,Big Ten,Vince Okruch,225000,225000,18750,2340000,
Georgia Tech,ACC,Ron West,225000,225000,18750,2534515,
Rutgers,Big Ten,Bill Busch,225000,225000,18750,2340000,
Utah,Pac-12,Fred Whittingham,225000,225000,18750,2900000,
Wisconsin,Big Ten,Jim Leonhard,225000,225000,87750,2862520,
Oklahoma State,Big 12,James McEndoo,225000,225000,62500,3283999,
North Texas,C-USA,Graham Harrell,225000,225000,18750,1245000,
Houston,AAC,Derek Warehime,225000,225000,38250,2419000,
West Virginia,Big 12,Matt Caponi,225000,225000,72500,2686025,
Mississippi State,SEC,Maurice Linguist,225000,225000,18750,3295000,
Texas Tech,Big 12,Lee Hays,220000,223900,53750,2247900,
Arizona,Pac-12,Charlie Ragle,220000,223900,18333,2834900,
Kansas,Big 12,Zach Yenser,220000,220000,0,2300599,
Purdue,Big Ten,Gerad Parker,220000,220000,181500,2495000,
Kansas,Big 12,Todd Bradford,220000,220000,0,2300599,
Kansas,Big 12,Joe DeForest,220000,220000,0,2300599,
South Florida,AAC,T.J. Weist,220000,220000,0,1911500,
Air Force,Mt. West,Clay Hendrix,219000,219000,,1618000,
Arizona,Pac-12,Jahmile Addae,215000,218900,17917,2834900,
Arizona,Pac-12,Donte Williams,215000,218900,17917,2834900,
Air Force,Mt. West,Mike Thiessen,217000,217000,,1618000,
Marshall,C-USA,Bill Legg,215000,217000,35833,1182914,
Washington,Pac-12,Jordan Paopao,215004,216504,96000,3553578,
Indiana,Big Ten,Noah Joseph,215200,215200,62777,2751661,
Boise State,Mt. West,Zak Hill,215010,215010,17751,2052597,
Illinois,Big Ten,Tim McGarigle,215000,215000,90300,3245000,
Illinois,Big Ten,Thad Ward,215000,215000,90300,3245000,
Arizona State,Pac-12,DelVaughn Alexander,215000,215000,85133,3255000,
Cincinnati,AAC,Jeff Koonz,215000,215000,30833,2140000,
Buffalo,MAC,Rob Ianello,214700,214700,71568,927911,
South Florida,AAC,Eric Mathies,210000,214000,0,1911500,
Arkansas State,Sun Belt,Buster Faulkner,210000,212800,17500,1278700,
Arkansas State,Sun Belt,Joe Cauthen,210000,212800,17500,1278700,
UNLV,Mt. West,Kent Baer,212100,212100,17675,1400000,
UNLV,Mt. West,Barney Cotton,212100,212100,17675,1400000,
Iowa State,Big 12,Alex Golesh,210000,210000,17430,2318250,
UTSA,C-USA,Frank Scelfo,210000,210000,0,1055000,
San Diego State,Mt. West,Bobby Hauck,200004,209254,99002,1594448,
