School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Utah St.,93,2002-08-31,1,,Utah,104,L,3,23,-20,19,42,45.2,171,0,1,16,-9,-0.6,0,1,2,0,16,30,53.3,165,1,53,282,5.3,2,0,0,0,3
UTEP,62,2002-08-31,1,,,,W,42,12,30,15,34,44.1,143,2,1,52,300,5.8,4,0,1,6,13,28,46.4,141,1,30,87,2.9,1,1,1,2,2
Vanderbilt,120,2002-08-31,1,@,Georgia Tech,17,L,3,45,-42,13,28,46.4,116,0,2,31,109,3.5,0,0,2,0,15,24,62.5,182,3,51,279,5.5,3,0,0,0,6
Virginia,24,2002-08-31,2,@,Florida St.,16,L,19,40,-21,20,32,62.5,251,3,0,33,62,1.9,0,3,3,3,14,23,60.9,157,0,60,397,6.6,5,2,2,4,5
Washington,105,2002-08-31,1,@,Michigan,31,L,29,31,-2,28,45,62.2,318,2,1,34,81,2.4,2,1,2,4,22,39,56.4,268,1,36,150,4.2,3,1,1,2,4
Washington St.,106,2002-08-31,1,,Nevada,88,W,31,7,24,19,33,57.6,261,1,0,27,108,4.0,2,2,2,4,20,35,57.1,174,0,46,108,2.3,1,0,3,3,1
West Virginia,50,2002-08-31,1,,Chattanooga,227,W,56,7,49,17,29,58.6,228,4,1,56,332,5.9,4,1,2,8,18,29,62.1,98,1,26,52,2.0,0,0,3,3,1
Wisconsin,40,2002-08-31,2,@,UNLV,92,W,27,7,20,14,26,53.8,191,2,0,37,158,4.3,1,0,0,3,12,26,46.2,138,0,31,167,5.4,1,3,2,5,1
Wyoming,94,2002-08-31,1,@,Tennessee,118,L,7,47,-40,11,31,35.5,144,1,3,22,43,2.0,0,2,5,1,26,42,61.9,279,1,42,188,4.5,4,0,1,1,5
Kentucky,112,2002-09-01,1,@,Louisville,18,W,22,17,5,13,27,48.1,195,1,0,42,78,1.9,1,0,0,2,14,39,35.9,193,1,24,55,2.3,0,2,1,3,2
Louisville,18,2002-09-01,1,,Kentucky,112,L,17,22,-5,14,39,35.9,193,1,1,24,55,2.3,0,2,3,2,13,27,48.1,195,1,42,78,1.9,1,0,0,0,2
LSU,113,2002-09-01,1,@,Virginia Tech,25,L,8,26,-18,15,35,42.9,134,0,1,28,80,2.9,1,1,2,1,7,14,50.0,65,0,51,166,3.3,3,1,0,1,3
Virginia Tech,25,2002-09-01,2,,LSU,113,W,26,8,18,7,14,50.0,65,0,0,51,166,3.3,3,1,1,3,15,35,42.9,134,0,28,80,2.9,1,1,1,2,1
Auburn,109,2002-09-02,1,@,USC,103,L,17,24,-7,11,22,50.0,141,0,1,38,140,3.7,2,1,2,2,23,32,71.9,302,1,37,84,2.3,2,1,2,3,3
Cincinnati,2,2002-09-02,1,,TCU,47,W,36,29,7,18,38,47.4,287,2,4,37,122,3.3,3,1,5,5,20,31,64.5,253,1,35,97,2.8,0,1,2,3,2
TCU,47,2002-09-02,1,@,Cincinnati,2,L,29,36,-7,20,31,64.5,253,1,2,35,97,2.8,0,1,3,2,18,38,47.4,287,2,37,122,3.3,3,1,4,5,5
USC,103,2002-09-02,1,,Auburn,109,W,24,17,7,23,32,71.9,302,1,2,37,84,2.3,2,1,3,3,11,22,50.0,141,0,38,140,3.7,2,1,1,2,2
Oregon St.,100,2002-09-05,2,@,Temple,10,W,35,3,32,33,51,64.7,286,4,0,32,142,4.4,0,0,0,5,14,35,40.0,109,0,34,113,3.3,0,1,3,4,0
Temple,10,2002-09-05,2,,Oregon St.,100,L,3,35,-32,14,35,40.0,109,0,3,34,113,3.3,0,1,4,0,33,51,64.7,286,4,32,142,4.4,0,0,0,0,5
BYU,66,2002-09-06,2,,Hawaii,87,W,35,32,3,21,48,43.8,226,1,0,48,168,3.5,4,0,0,5,22,55,40.0,284,2,30,171,5.7,2,0,4,4,4
Hawaii,87,2002-09-06,2,@,BYU,66,L,32,35,-3,22,55,40.0,284,2,4,30,171,5.7,2,0,4,4,21,48,43.8,226,1,48,168,3.5,4,0,0,0,5
Air Force,83,2002-09-07,2,,New Mexico,89,W,38,31,7,5,13,38.5,99,2,1,59,261,4.4,3,1,2,5,19,31,61.3,213,2,40,149,3.7,2,0,1,1,4
Akron,71,2002-09-07,2,@,Maryland,30,L,14,44,-30,20,35,57.1,237,2,3,34,82,2.4,0,1,4,2,10,19,52.6,118,1,50,209,4.2,3,0,0,0,5
Alabama,107,2002-09-07,2,@,Oklahoma,45,L,27,37,-10,17,35,48.6,192,0,1,45,96,2.1,2,2,3,3,21,38,55.3,306,2,23,-23,-1.0,2,1,0,1,5
Arizona St.,96,2002-09-07,3,,Central Florida,1,W,46,13,33,9,17,52.9,120,3,0,53,141,2.7,1,3,3,6,8,28,28.6,157,1,23,33,1.4,0,2,3,5,1
Arkansas,108,2002-09-07,1,,Boise St.,84,W,41,14,27,11,24,45.8,128,3,1,48,217,4.5,1,1,2,5,25,39,64.1,331,2,26,27,1.0,0,4,3,7,2
