Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
De'Anthony Thomas,WR,26.274,2019-10-06,NFL,KAN,,IND,L 13-19,5,5,Sun,2,1,0.50,0,ThomDe05
Dede Westbrook,WR,25.319,2019-10-06,NFL,JAX,@,CAR,L 27-34,5,5,Sun,3,17,5.67,0,WestDe00
Odell Beckham,WR,26.336,2019-10-07,NFL,CLE,@,SFO,L 3-31,5,5,Mon,1,-6,-6.00,0,BeckOd00
Richie James,WR,24.032,2019-10-07,NFL,SFO,,CLE,W 31-3,4,5,Mon,1,32,32.00,0,JameRi00
Gunner Olszewski,WR,22.318,2019-10-10,NFL,NWE,,NYG,W 35-14,6,6,Thu,1,10,10.00,0,OlszGu00
Tavon Austin,WR,29.212,2019-10-13,NFL,DAL,@,NYJ,L 22-24,6,6,Sun,2,8,4.00,0,AustTa00
Kenjon Barner,RB,29.168,2019-10-13,NFL,ATL,@,ARI,L 33-34,6,6,Sun,3,17,5.67,0,BarnKe00
Braxton Berrios,WR,24.007,2019-10-13,NFL,NYJ,,DAL,W 24-22,5,6,Sun,2,22,11.00,0,BerrBr00
DeAndre Carter,WR,26.186,2019-10-13,NFL,HOU,@,KAN,W 31-24,6,6,Sun,1,10,10.00,0,CartDe02
Pharoh Cooper,WR,24.220,2019-10-13,NFL,ARI,,ATL,W 34-33,6,6,Sun,1,3,3.00,0,CoopPh00
Deonte Harris,WR/RS,21.313,2019-10-13,NFL,NOR,@,JAX,W 13-6,6,6,Sun,2,12,6.00,0,HarrDe07
Adam Humphries,WR,26.111,2019-10-13,NFL,TEN,@,DEN,L 0-16,6,6,Sun,3,19,6.33,0,HumpAd00
Richie James,WR,24.038,2019-10-13,NFL,SFO,@,LAR,W 20-7,5,6,Sun,3,38,12.67,0,JameRi00
Cyrus Jones,CB/RS,25.318,2019-10-13,NFL,BAL,,CIN,W 23-17,6,6,Sun,1,8,8.00,0,JoneCy00
Desmond King,DB,24.303,2019-10-13,NFL,LAC,,PIT,L 17-24,6,6,Sun,1,7,7.00,0,KingDe01
Jarvis Landry,WR,26.319,2019-10-13,NFL,CLE,,SEA,L 28-32,6,6,Sun,1,5,5.00,0,LandJa00
Ray-Ray McCloud,WR,22.363,2019-10-13,NFL,CAR,@,TAM,W 37-26,6,6,Sun,1,10,10.00,0,McClRa00
Jojo Natson,WR,25.254,2019-10-13,NFL,LAR,,SFO,L 7-20,6,6,Sun,1,8,8.00,0,NatsJo00
Trey Quinn,WR,23.310,2019-10-13,NFL,WAS,@,MIA,W 17-16,6,6,Sun,2,14,7.00,0,QuinTr00
Boston Scott,RB,24.169,2019-10-13,NFL,PHI,@,MIN,L 20-38,6,6,Sun,2,16,8.00,0,ScotBo02
Marcus Sherels,CB,32.013,2019-10-13,NFL,MIN,,PHI,W 38-20,6,6,Sun,1,6,6.00,0,SherMa20
Diontae Spencer,WR,27.208,2019-10-13,NFL,DEN,,TEN,W 16-0,6,6,Sun,3,48,16.00,0,SpenDi00
Ryan Switzer,WR,24.343,2019-10-13,NFL,PIT,@,LAC,W 24-17,6,6,Sun,2,14,7.00,0,SwitRy00
Dede Westbrook,WR,25.326,2019-10-13,NFL,JAX,,NOR,L 6-13,6,6,Sun,1,0,0.00,0,WestDe00
Preston Williams,WR,22.200,2019-10-13,NFL,MIA,,WAS,L 16-17,5,6,Sun,4,42,10.50,0,WillPr01
Bobo Wilson,WR,24.261,2019-10-13,NFL,TAM,,CAR,L 26-37,6,6,Sun,6,12,2.00,0,WilsJe00
Darrius Shepherd,WR,23.347,2019-10-14,NFL,GNB,,DET,W 23-22,6,6,Mon,1,-9,-9.00,0,ShepDa00
Mecole Hardman,WR,21.219,2019-10-17,NFL,KAN,@,DEN,W 30-6,7,7,Thu,1,36,36.00,0,HardMe00
Diontae Spencer,WR,27.212,2019-10-17,NFL,DEN,,KAN,L 6-30,7,7,Thu,4,12,3.00,0,SpenDi00
De'Anthony Thomas,WR,26.285,2019-10-17,NFL,KAN,@,DEN,W 30-6,7,7,Thu,3,14,4.67,0,ThomDe05
Jamal Agnew,CB,24.200,2019-10-20,NFL,DET,,MIN,L 30-42,6,7,Sun,1,0,0.00,0,AgneJa00
Tavon Austin,WR,29.219,2019-10-20,NFL,DAL,,PHI,W 37-10,7,7,Sun,1,6,6.00,0,AustTa00
DeAndre Carter,WR,26.193,2019-10-20,NFL,HOU,@,IND,L 23-30,7,7,Sun,1,3,3.00,0,CartDe02
Randall Cobb,WR,29.059,2019-10-20,NFL,DAL,,PHI,W 37-10,7,7,Sun,1,6,6.00,0,CobbRa00
