"Team","TeamCode","ConferenceCode","FBS","Power5","Conference","ConferenceAbbrev","Nickname","Name1","Name2","Name3","Name4","Name5","Name6","Name7","Name8","URL","logo","color_0_hex","color_1_hex","color_2_hex"
"Northern Illinois",79,7,"True","False","Mid-American","MAC","Huskies","NIU","N Illinois",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2459.png","https://cdn.usteamcolors.com/images/ncaa/division-1/northern-illinois-huskies-logo.png","#BA0C2F","#27251F",
"Ohio",80,7,"True","False","Mid-American","MAC","Bobcats","OHIO",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/195.png","https://cdn.usteamcolors.com/images/ncaa/division-1/ohio-bobcats-logo.png","#00694E",,
"Toledo",81,7,"True","False","Mid-American","MAC","Rockets","TOL","TOLEDO",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png","https://cdn.usteamcolors.com/images/ncaa/division-1/toledo-rockets-logo.png","#15397F","#FFDA00",
"Western Michigan",82,7,"True","False","Mid-American","MAC","Broncos","WMU","W Michigan","West. Michigan",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2711.png","https://cdn.usteamcolors.com/images/ncaa/division-1/western-michigan-broncos-logo.png","#6C4023","#B5A167",
"Air Force",83,8,"True","False","Mountain West","MWC","Falcons","AFA",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2005.png","https://cdn.usteamcolors.com/images/ncaa/division-1/air-force-falcons-logo.png","#0033A0","#8F8F8C",
"Boise St.",84,8,"True","False","Mountain West","MWC","Broncos","BSU","Boise St","Boise State",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/68.png","https://cdn.usteamcolors.com/images/ncaa/division-1/boise-state-broncos-logo.png","#0033A0","#D64309",
"Colorado St.",85,8,"True","False","Mountain West","MWC","Rams","CSU","Colorado St","Colorado State",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/36.png","https://cdn.usteamcolors.com/images/ncaa/division-1/colorado-state-rams-logo.png","#006A4D","#B3A369",
"Fresno St.",86,8,"True","False","Mountain West","MWC","Bulldogs","FRES","Fresno St","Fresno State",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/278.png","https://cdn.usteamcolors.com/images/ncaa/division-1/fresno-state-bulldogs-logo.png","#CC0033","#00235D",
"Hawaii",87,8,"True","False","Mountain West","MWC","Rainbow Warriors","HAW","Hawaii","Hawai'i",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/62.png","https://cdn.usteamcolors.com/images/ncaa/division-1/hawaii-rainbow-warriors-logo.png","#024731","#000000","#B2B2B2"
"Nevada",88,8,"True","False","Mountain West","MWC","Wolf Pack","NEV",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png","https://cdn.usteamcolors.com/images/ncaa/division-1/nevada-wolf-pack-logo.png","#999999","#003366",
"New Mexico",89,8,"True","False","Mountain West","MWC","Lobos","UNM",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/167.png","https://cdn.usteamcolors.com/images/ncaa/division-1/new-mexico-lobos-logo.png","#BA0C2F","#A7A8AA",
"San Diego St.",90,8,"True","False","Mountain West","MWC","Aztecs","SDSU","San Diego St","San Diego State",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/21.png","https://cdn.usteamcolors.com/images/ncaa/division-1/san-diego-state-aztecs-logo.png","#C41230","#000000",
"San Jose St.",91,8,"True","False","Mountain West","MWC","Spartans","SJSU","San Jose St","San Jose State","San Jos� State",,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/23.png","https://cdn.usteamcolors.com/images/ncaa/division-1/san-jose-state-spartans-logo.png","#FDBF5C","#005298",
"UNLV",92,8,"True","False","Mountain West","MWC","Rebels","UNLV","Nevada-Las Vegas","Nevada Las Vegas",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2439.png","https://cdn.usteamcolors.com/images/ncaa/division-1/unlv-rebels-logo.png","#CF0A2C","#CAC8C8",
"Utah St.",93,8,"True","False","Mountain West","MWC","Aggies","USU","Utah St","Utah State",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/328.png","https://cdn.usteamcolors.com/images/ncaa/division-1/utah-state-aggies-logo.png","#0F2439","#9D968D",
"Wyoming",94,8,"True","False","Mountain West","MWC","Cowboys","WYO",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","https://cdn.usteamcolors.com/images/ncaa/division-1/wyoming-cowboys-logo.png","#492F24","#FFC425",
"Arizona",95,9,"True","True","Pac 12","Pac-12","Wildcats","ARIZ",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/12.png","https://cdn.usteamcolors.com/images/ncaa/division-1/arizona-wildcats-logo.png","#AB0520","#002147",
"Arizona St.",96,9,"True","True","Pac 12","Pac-12","Sun Devils","ASU","Arizona St","Arizona State",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/9.png","https://cdn.usteamcolors.com/images/ncaa/division-1/arizona-state-sun-devils-logo.png","#8E0C3A","#FFC72C",
"California",97,9,"True","True","Pac 12","Pac-12","Golden Bears","CAL","Cal",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/25.png","https://cdn.usteamcolors.com/images/ncaa/division-1/california-golden-bears-logo.png","#041E42","#FFC72C",
"Colorado",98,9,"True","True","Pac 12","Pac-12","Buffaloes","COLO",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/38.png","https://cdn.usteamcolors.com/images/ncaa/division-1/colorado-buffaloes-logo.png","#A2A4A3","#000000","#CFB87C"
